meter_id,reading_timestamp,energy_kwh,voltage_v,current_a,power_factor,quality_flag,source
SM-01-01-001,2026-01-02 02:00:00,0.2777,121.95,13.76,0.915,OK,synthetic
SM-01-01-001,2026-01-02 03:00:00,0.0247,119.1,18.33,0.947,ANOMALY,synthetic
SM-01-01-001,2026-01-02 04:00:00,0.2974,118.13,15.85,1.0,OK,synthetic
SM-01-01-001,2026-01-02 05:00:00,0.2714,124.15,10.35,0.951,OK,synthetic
SM-01-01-001,2026-01-02 06:00:00,0.4792,124.96,14.28,0.923,OK,synthetic
SM-01-01-001,2026-01-02 07:00:00,0.5112,120.33,10.15,1.0,OK,synthetic
SM-01-01-001,2026-01-02 08:00:00,0.5773,119.19,16.52,0.898,OK,synthetic
SM-01-01-001,2026-01-02 09:00:00,0.5212,118.38,9.94,1.0,OK,synthetic
SM-01-01-001,2026-01-02 10:00:00,0.5978,113.9,13.52,0.873,OK,synthetic
SM-01-01-001,2026-01-02 11:00:00,0.674,125.5,14.95,0.88,OK,synthetic
SM-01-01-001,2026-01-02 12:00:00,0.5923,115.18,13.54,0.936,OK,synthetic
SM-01-01-001,2026-01-02 13:00:00,0.6393,120.08,10.73,0.905,OK,synthetic
SM-01-01-001,2026-01-02 14:00:00,0.5242,115.96,10.68,0.989,OK,synthetic
SM-01-01-001,2026-01-02 15:00:00,0.6293,117.25,11.46,0.95,OK,synthetic
SM-01-01-001,2026-01-02 16:00:00,0.5126,117.76,10.7,0.928,OK,synthetic
SM-01-01-001,2026-01-02 17:00:00,0.6254,120.87,13.27,0.891,OK,synthetic
SM-01-01-001,2026-01-02 18:00:00,0.9659,123.09,6.96,0.947,OK,synthetic
SM-01-01-001,2026-01-02 19:00:00,0.794,119.4,13.54,0.932,OK,synthetic
SM-01-01-001,2026-01-02 20:00:00,0.9782,116.53,14.04,0.894,OK,synthetic
SM-01-01-001,2026-01-02 21:00:00,0.9086,122.12,13.48,0.888,OK,synthetic
SM-01-01-001,2026-01-02 22:00:00,0.8598,116.46,14.14,0.95,OK,synthetic
SM-01-01-001,2026-01-02 23:00:00,0.4896,117.24,9.4,0.955,OK,synthetic
SM-01-01-001,2026-01-03 00:00:00,0.2519,109.5,11.48,0.976,OK,synthetic
SM-01-01-001,2026-01-03 01:00:00,0.2559,112.01,10.28,0.931,OK,synthetic
SM-01-01-001,2026-01-03 02:00:00,0.2259,123.83,11.1,0.941,OK,synthetic
SM-01-01-001,2026-01-03 04:00:00,0.2909,121.79,15.05,0.92,OK,synthetic
SM-01-01-001,2026-01-03 05:00:00,0.2583,120.79,17.49,0.92,OK,synthetic
SM-01-01-001,2026-01-03 06:00:00,0.5255,119.68,9.03,0.928,OK,synthetic
SM-01-01-001,2026-01-03 07:00:00,0.4614,127.23,12.84,0.975,OK,synthetic
SM-01-01-001,2026-01-03 08:00:00,0.4789,124.09,16.36,0.926,OK,synthetic
SM-01-01-001,2026-01-03 09:00:00,0.7004,119.33,14.86,0.924,OK,synthetic
SM-01-01-001,2026-01-03 10:00:00,0.5479,126.24,12.32,0.952,OK,synthetic
SM-01-01-001,2026-01-03 11:00:00,0.5298,121.31,12.06,0.9,OK,synthetic
SM-01-01-001,2026-01-03 12:00:00,0.6528,121.14,11.32,0.925,OK,synthetic
SM-01-01-001,2026-01-03 13:00:00,0.4999,122.9,8.6,0.888,OK,synthetic
SM-01-01-001,2026-01-03 14:00:00,0.5631,117.26,14.74,0.94,OK,synthetic
SM-01-01-001,2026-01-03 15:00:00,0.5482,118.99,15.48,0.918,OK,synthetic
SM-01-01-001,2026-01-03 16:00:00,0.6979,115.08,10.25,0.917,OK,synthetic
SM-01-01-001,2026-01-03 17:00:00,0.5713,120.35,14.33,0.98,OK,synthetic
SM-01-01-001,2026-01-03 18:00:00,0.8091,118.67,12.99,0.941,OK,synthetic
SM-01-01-001,2026-01-03 19:00:00,0.6842,117.49,16.02,0.92,OK,synthetic
SM-01-01-001,2026-01-03 20:00:00,0.7509,117.37,17.37,0.876,OK,synthetic
SM-01-01-001,2026-01-03 21:00:00,0.8039,124.34,16.02,0.892,OK,synthetic
SM-01-01-001,2026-01-03 22:00:00,0.6798,120.21,13.88,0.9,OK,synthetic
SM-01-01-001,2026-01-03 23:00:00,0.5164,119.3,9.09,0.953,OK,synthetic
SM-01-01-001,2026-01-04 00:00:00,0.2082,116.21,14.17,0.937,OK,synthetic
SM-01-01-001,2026-01-04 01:00:00,0.2035,122.37,15.1,0.987,OK,synthetic
SM-01-01-001,2026-01-04 02:00:00,0.2551,127.41,10.72,0.913,OK,synthetic
SM-01-01-001,2026-01-04 04:00:00,0.2801,118.26,15.38,0.943,OK,synthetic
SM-01-01-001,2026-01-04 05:00:00,0.2624,123.7,17.83,0.885,OK,synthetic
SM-01-01-001,2026-01-04 06:00:00,0.5191,120.39,13.27,0.994,OK,synthetic
SM-01-01-001,2026-01-04 07:00:00,0.5057,123.13,12.84,0.954,OK,synthetic
SM-01-01-001,2026-01-04 08:00:00,0.5311,127.65,9.33,0.924,OK,synthetic
SM-01-01-001,2026-01-04 09:00:00,0.5291,122.48,16.88,0.912,OK,synthetic
SM-01-01-001,2026-01-04 10:00:00,0.5952,126.95,13.82,0.975,OK,synthetic
SM-01-01-001,2026-01-04 11:00:00,0.5936,125.05,16.13,0.955,OK,synthetic
SM-01-01-001,2026-01-04 12:00:00,0.4509,120.78,12.22,0.979,OK,synthetic
SM-01-01-001,2026-01-04 13:00:00,0.0503,113.54,10.09,0.92,ANOMALY,synthetic
SM-01-01-001,2026-01-04 14:00:00,0.5386,120.71,14.79,0.859,OK,synthetic
SM-01-01-001,2026-01-04 15:00:00,0.5536,121.54,15.25,0.925,OK,synthetic
SM-01-01-001,2026-01-04 16:00:00,0.6502,120.53,10.83,0.943,OK,synthetic
SM-01-01-001,2026-01-04 18:00:00,0.7731,125.63,13.76,0.892,OK,synthetic
SM-01-01-001,2026-01-04 19:00:00,0.8052,115.71,11.87,0.864,OK,synthetic
SM-01-01-001,2026-01-04 20:00:00,0.7196,117.6,9.6,0.97,OK,synthetic
SM-01-01-001,2026-01-04 21:00:00,0.7869,119.57,11.54,0.898,OK,synthetic
SM-01-01-001,2026-01-04 22:00:00,0.8662,120.73,9.57,0.94,OK,synthetic
SM-01-01-001,2026-01-04 23:00:00,0.4841,124.79,15.07,0.853,OK,synthetic
SM-01-01-001,2026-01-05 00:00:00,0.2942,114.63,7.34,0.925,OK,synthetic
SM-01-01-001,2026-01-05 01:00:00,0.2723,119.07,9.98,0.918,OK,synthetic
SM-01-01-001,2026-01-05 02:00:00,0.2676,120.41,11.17,0.951,OK,synthetic
SM-01-01-001,2026-01-05 03:00:00,0.2934,120.99,15.13,0.949,OK,synthetic
SM-01-01-001,2026-01-05 04:00:00,0.3411,124.51,13.89,0.943,OK,synthetic
SM-01-01-001,2026-01-05 05:00:00,0.2421,115.34,10.35,0.936,OK,synthetic
SM-01-01-001,2026-01-05 06:00:00,0.4763,123.7,8.38,0.948,OK,synthetic
SM-01-01-001,2026-01-05 07:00:00,0.5903,123.09,16.48,0.94,OK,synthetic
SM-01-01-001,2026-01-05 08:00:00,0.5026,125.53,12.42,0.956,OK,synthetic
SM-01-01-001,2026-01-05 09:00:00,0.6456,119.4,17.38,0.916,OK,synthetic
SM-01-01-001,2026-01-05 10:00:00,0.7072,121.15,13.09,0.943,OK,synthetic
SM-01-01-001,2026-01-05 11:00:00,0.6412,118.84,13.52,0.92,OK,synthetic
SM-01-01-001,2026-01-05 12:00:00,0.5907,118.91,14.84,0.902,OK,synthetic
SM-01-01-001,2026-01-05 13:00:00,0.6001,122.73,13.3,0.957,OK,synthetic
SM-01-01-001,2026-01-05 14:00:00,0.6615,116.86,14.78,0.916,OK,synthetic
SM-01-01-001,2026-01-05 15:00:00,0.6374,119.46,12.8,0.924,OK,synthetic
SM-01-01-001,2026-01-05 16:00:00,0.632,119.47,13.55,0.914,OK,synthetic
SM-01-01-001,2026-01-05 17:00:00,0.7023,119.06,12.67,0.932,OK,synthetic
SM-01-01-001,2026-01-05 18:00:00,0.9242,123.14,13.28,0.99,OK,synthetic
SM-01-01-001,2026-01-05 19:00:00,0.795,115.78,11.64,0.923,OK,synthetic
SM-01-01-001,2026-01-05 20:00:00,0.7721,110.48,12.09,0.951,OK,synthetic
SM-01-01-001,2026-01-05 21:00:00,0.8594,111.41,13.03,0.93,OK,synthetic
SM-01-01-001,2026-01-05 22:00:00,0.8516,121.2,13.36,0.963,OK,synthetic
SM-01-01-001,2026-01-05 23:00:00,0.4788,123.18,12.07,0.954,OK,synthetic
SM-01-01-001,2026-01-06 00:00:00,0.302,115.32,14.73,0.977,OK,synthetic
SM-01-01-001,2026-01-06 01:00:00,0.268,127.7,14.75,0.905,OK,synthetic
SM-01-01-001,2026-01-06 02:00:00,0.3066,118.34,12.76,0.952,OK,synthetic
SM-01-01-001,2026-01-06 03:00:00,0.2572,114.83,11.04,0.943,OK,synthetic
SM-01-01-001,2026-01-06 04:00:00,0.2886,117.62,12.25,0.951,OK,synthetic
SM-01-01-001,2026-01-06 05:00:00,0.2959,123.79,11.18,0.965,OK,synthetic
SM-01-01-001,2026-01-06 06:00:00,0.5359,122.12,15.02,0.885,OK,synthetic
SM-01-01-001,2026-01-06 07:00:00,0.6123,120.26,9.7,0.913,OK,synthetic
SM-01-01-001,2026-01-06 08:00:00,0.5226,119.17,9.88,0.896,OK,synthetic
SM-01-01-001,2026-01-06 09:00:00,0.5543,116.38,14.08,0.913,OK,synthetic
SM-01-01-001,2026-01-06 10:00:00,0.5879,120.96,11.81,0.931,OK,synthetic
SM-01-01-001,2026-01-06 11:00:00,0.5864,120.1,12.32,0.889,OK,synthetic
SM-01-01-001,2026-01-06 12:00:00,0.55,123.24,7.48,0.913,OK,synthetic
SM-01-01-001,2026-01-06 13:00:00,0.5816,123.87,10.02,0.939,OK,synthetic
SM-01-01-001,2026-01-06 14:00:00,0.5751,120.83,8.66,0.946,OK,synthetic
SM-01-01-001,2026-01-06 15:00:00,0.615,120.67,5.52,0.909,OK,synthetic
SM-01-01-001,2026-01-06 16:00:00,0.6021,118.47,10.14,0.9,OK,synthetic
SM-01-01-001,2026-01-06 17:00:00,0.5845,120.64,11.57,0.932,OK,synthetic
SM-01-01-001,2026-01-06 18:00:00,0.6854,117.63,6.96,0.897,OK,synthetic
SM-01-01-001,2026-01-06 19:00:00,0.8601,119.88,16.73,0.974,OK,synthetic
SM-01-01-001,2026-01-06 20:00:00,0.6797,115.51,11.44,0.93,OK,synthetic
SM-01-01-001,2026-01-06 21:00:00,0.8039,121.92,11.74,0.908,OK,synthetic
SM-01-01-001,2026-01-06 22:00:00,0.8528,118.93,14.59,0.931,OK,synthetic
SM-01-01-001,2026-01-06 23:00:00,0.4724,121.55,10.94,0.89,OK,synthetic
SM-01-01-001,2026-01-07 00:00:00,0.3,118.83,10.68,0.929,OK,synthetic
SM-01-01-001,2026-01-07 01:00:00,0.3231,124.56,14.52,1.0,OK,synthetic
SM-01-01-001,2026-01-07 02:00:00,0.2607,119.2,13.62,0.952,OK,synthetic
SM-01-01-001,2026-01-07 03:00:00,0.2291,121.46,13.84,0.906,OK,synthetic
SM-01-01-001,2026-01-07 04:00:00,0.2895,112.9,10.55,0.904,OK,synthetic
SM-01-01-001,2026-01-07 05:00:00,0.2914,121.58,12.59,0.988,OK,synthetic
SM-01-01-001,2026-01-07 06:00:00,0.5453,124.78,11.65,0.913,OK,synthetic
SM-01-01-001,2026-01-07 07:00:00,0.5616,118.89,7.41,0.928,OK,synthetic
SM-01-01-001,2026-01-07 08:00:00,0.4493,117.36,9.04,0.919,OK,synthetic
SM-01-01-001,2026-01-07 09:00:00,0.5109,108.58,12.1,0.933,OK,synthetic
SM-01-01-001,2026-01-07 10:00:00,0.5378,119.62,10.62,0.921,OK,synthetic
SM-01-01-001,2026-01-07 11:00:00,0.5373,118.43,13.47,0.928,OK,synthetic
SM-01-01-001,2026-01-07 12:00:00,0.5093,116.55,15.79,0.879,OK,synthetic
SM-01-01-001,2026-01-07 13:00:00,0.6772,118.19,11.65,0.934,OK,synthetic
SM-01-01-001,2026-01-07 14:00:00,0.5245,120.13,15.81,0.924,OK,synthetic
SM-01-01-001,2026-01-07 15:00:00,0.6293,111.98,6.48,0.961,OK,synthetic
SM-01-01-001,2026-01-07 16:00:00,0.6633,109.24,17.92,0.915,OK,synthetic
SM-01-01-001,2026-01-07 17:00:00,0.5631,124.11,11.31,0.899,OK,synthetic
SM-01-01-001,2026-01-07 18:00:00,0.6926,122.0,18.24,0.939,OK,synthetic
SM-01-01-001,2026-01-07 19:00:00,0.9129,127.24,13.08,0.904,OK,synthetic
SM-01-01-001,2026-01-07 20:00:00,0.6173,122.31,14.12,1.0,OK,synthetic
SM-01-01-001,2026-01-07 21:00:00,0.6355,122.82,13.89,0.909,OK,synthetic
SM-01-01-001,2026-01-07 22:00:00,0.7374,118.37,10.33,0.937,OK,synthetic
SM-01-01-001,2026-01-07 23:00:00,0.5307,117.39,12.91,0.949,OK,synthetic
SM-01-01-002,2026-01-01 00:00:00,2.327,118.03,10.75,0.974,OK,synthetic
SM-01-01-002,2026-01-01 01:00:00,2.3885,127.62,16.06,0.948,OK,synthetic
SM-01-01-002,2026-01-01 03:00:00,2.2515,117.26,7.48,0.959,OK,synthetic
SM-01-01-002,2026-01-01 04:00:00,2.0424,120.74,13.75,0.891,OK,synthetic
SM-01-01-002,2026-01-01 05:00:00,1.8758,115.98,12.02,0.931,OK,synthetic
SM-01-01-002,2026-01-01 06:00:00,4.1497,117.33,11.89,0.885,OK,synthetic
SM-01-01-002,2026-01-01 07:00:00,4.39,118.67,10.47,0.927,OK,synthetic
SM-01-01-002,2026-01-01 08:00:00,3.6496,117.47,7.52,0.957,OK,synthetic
SM-01-01-002,2026-01-01 09:00:00,4.4239,120.26,11.34,0.896,OK,synthetic
SM-01-01-002,2026-01-01 10:00:00,5.1158,116.69,10.61,0.912,OK,synthetic
SM-01-01-002,2026-01-01 11:00:00,5.2769,119.99,10.23,0.981,OK,synthetic
SM-01-01-002,2026-01-01 12:00:00,4.3503,119.94,12.95,0.881,OK,synthetic
SM-01-01-002,2026-01-01 13:00:00,4.6318,122.63,9.04,0.945,OK,synthetic
SM-01-01-002,2026-01-01 14:00:00,4.5251,120.28,9.85,0.955,OK,synthetic
SM-01-01-002,2026-01-01 15:00:00,5.0593,110.28,14.47,0.916,OK,synthetic
SM-01-01-002,2026-01-01 16:00:00,5.1589,115.6,11.71,0.863,OK,synthetic
SM-01-01-002,2026-01-01 17:00:00,4.3791,120.77,9.97,0.887,OK,synthetic
SM-01-01-002,2026-01-01 18:00:00,5.6831,115.03,11.42,0.941,OK,synthetic
SM-01-01-002,2026-01-01 19:00:00,5.1786,115.16,10.83,0.879,OK,synthetic
SM-01-01-002,2026-01-01 20:00:00,6.3585,119.9,12.39,0.979,OK,synthetic
SM-01-01-002,2026-01-01 21:00:00,5.8595,127.22,13.36,0.956,OK,synthetic
SM-01-01-002,2026-01-01 22:00:00,5.3037,120.03,12.59,0.89,OK,synthetic
SM-01-01-002,2026-01-01 23:00:00,3.235,113.99,12.62,0.946,OK,synthetic
SM-01-01-002,2026-01-02 00:00:00,2.1953,115.93,10.5,0.888,OK,synthetic
SM-01-01-002,2026-01-02 01:00:00,2.0361,122.0,11.49,0.877,OK,synthetic
SM-01-01-002,2026-01-02 02:00:00,1.9863,119.75,13.83,0.871,OK,synthetic
SM-01-01-002,2026-01-02 03:00:00,2.4156,117.32,13.16,0.951,OK,synthetic
SM-01-01-002,2026-01-02 04:00:00,2.2785,118.03,7.86,0.979,OK,synthetic
SM-01-01-002,2026-01-02 05:00:00,2.313,116.32,11.3,0.971,OK,synthetic
SM-01-01-002,2026-01-02 06:00:00,3.9007,117.33,11.01,0.965,OK,synthetic
SM-01-01-002,2026-01-02 07:00:00,4.4579,117.42,7.21,0.968,OK,synthetic
SM-01-01-002,2026-01-02 08:00:00,4.523,123.38,10.98,0.96,OK,synthetic
SM-01-01-002,2026-01-02 09:00:00,4.9521,113.45,13.41,0.949,OK,synthetic
SM-01-01-002,2026-01-02 10:00:00,4.439,125.91,12.01,0.999,OK,synthetic
SM-01-01-002,2026-01-02 11:00:00,5.0715,118.4,13.32,0.961,OK,synthetic
SM-01-01-002,2026-01-02 12:00:00,4.5587,124.96,12.34,0.876,OK,synthetic
SM-01-01-002,2026-01-02 13:00:00,5.0962,116.07,11.75,0.933,OK,synthetic
SM-01-01-002,2026-01-02 14:00:00,4.5113,118.97,13.33,0.931,OK,synthetic
SM-01-01-002,2026-01-02 16:00:00,4.9182,120.25,8.78,0.914,OK,synthetic
SM-01-01-002,2026-01-02 17:00:00,5.5616,119.09,9.88,0.945,OK,synthetic
SM-01-01-002,2026-01-02 18:00:00,5.7054,121.62,16.36,0.901,OK,synthetic
SM-01-01-002,2026-01-02 19:00:00,5.7979,121.91,12.29,0.94,OK,synthetic
SM-01-01-002,2026-01-02 20:00:00,6.7423,120.94,8.84,0.948,OK,synthetic
SM-01-01-002,2026-01-02 21:00:00,7.0586,114.06,7.4,0.936,OK,synthetic
SM-01-01-002,2026-01-02 22:00:00,6.9619,121.83,17.5,0.967,OK,synthetic
SM-01-01-002,2026-01-02 23:00:00,3.7488,114.78,10.18,0.939,OK,synthetic
SM-01-01-002,2026-01-03 00:00:00,2.4592,122.59,10.03,0.921,OK,synthetic
SM-01-01-002,2026-01-03 01:00:00,1.9507,118.66,15.01,0.959,OK,synthetic
SM-01-01-002,2026-01-03 02:00:00,1.9633,113.91,10.36,0.941,OK,synthetic
SM-01-01-002,2026-01-03 04:00:00,1.9985,121.12,16.16,0.944,OK,synthetic
SM-01-01-002,2026-01-03 05:00:00,1.9292,116.15,10.19,0.856,OK,synthetic
SM-01-01-002,2026-01-03 06:00:00,3.3827,120.95,18.38,0.906,OK,synthetic
SM-01-01-002,2026-01-03 07:00:00,3.3,116.22,10.64,0.922,OK,synthetic
SM-01-01-002,2026-01-03 08:00:00,3.7486,117.57,13.82,0.941,OK,synthetic
SM-01-01-002,2026-01-03 10:00:00,4.3792,125.34,11.02,0.91,OK,synthetic
SM-01-01-002,2026-01-03 11:00:00,4.9997,119.97,9.41,0.893,OK,synthetic
SM-01-01-002,2026-01-03 12:00:00,4.3115,118.33,15.06,0.922,OK,synthetic
SM-01-01-002,2026-01-03 13:00:00,4.5103,123.03,12.52,0.904,OK,synthetic
SM-01-01-002,2026-01-03 14:00:00,3.497,123.59,12.63,0.928,OK,synthetic
SM-01-01-002,2026-01-03 15:00:00,4.5745,119.94,12.85,0.934,OK,synthetic
SM-01-01-002,2026-01-03 16:00:00,4.133,118.79,10.77,0.939,OK,synthetic
SM-01-01-002,2026-01-03 18:00:00,6.5716,119.11,10.42,0.923,OK,synthetic
SM-01-01-002,2026-01-03 19:00:00,5.9903,128.24,8.98,0.911,OK,synthetic
SM-01-01-002,2026-01-03 20:00:00,4.3705,115.05,10.44,0.915,OK,synthetic
SM-01-01-002,2026-01-03 21:00:00,5.1487,122.13,11.72,0.92,OK,synthetic
SM-01-01-002,2026-01-03 22:00:00,5.3942,124.59,12.77,0.906,OK,synthetic
SM-01-01-002,2026-01-04 00:00:00,2.1174,123.71,11.28,0.938,OK,synthetic
SM-01-01-002,2026-01-04 01:00:00,1.6463,120.3,7.61,0.907,OK,synthetic
SM-01-01-002,2026-01-04 02:00:00,2.2787,118.44,13.22,0.893,OK,synthetic
SM-01-01-002,2026-01-04 03:00:00,1.9184,117.51,13.82,0.934,OK,synthetic
SM-01-01-002,2026-01-04 04:00:00,1.7012,111.63,13.06,0.945,OK,synthetic
SM-01-01-002,2026-01-04 05:00:00,2.0868,126.92,8.33,0.876,OK,synthetic
SM-01-01-002,2026-01-04 06:00:00,4.5692,124.23,19.45,0.979,OK,synthetic
SM-01-01-002,2026-01-04 07:00:00,3.3718,121.87,8.71,0.906,OK,synthetic
SM-01-01-002,2026-01-04 08:00:00,3.3042,118.13,15.08,0.968,OK,synthetic
SM-01-01-002,2026-01-04 09:00:00,4.831,119.78,12.31,0.91,OK,synthetic
SM-01-01-002,2026-01-04 10:00:00,4.8717,125.41,12.56,0.966,OK,synthetic
SM-01-01-002,2026-01-04 11:00:00,5.0169,116.77,12.58,0.882,OK,synthetic
SM-01-01-002,2026-01-04 12:00:00,3.9997,113.94,12.9,0.984,OK,synthetic
SM-01-01-002,2026-01-04 13:00:00,4.2386,117.46,17.74,0.973,OK,synthetic
SM-01-01-002,2026-01-04 14:00:00,5.0822,121.74,12.04,0.925,OK,synthetic
SM-01-01-002,2026-01-04 15:00:00,4.2927,109.12,6.06,0.871,OK,synthetic
SM-01-01-002,2026-01-04 16:00:00,4.0821,117.45,8.8,0.934,OK,synthetic
SM-01-01-002,2026-01-04 17:00:00,4.4046,116.82,10.47,0.934,OK,synthetic
SM-01-01-002,2026-01-04 18:00:00,5.437,122.82,16.85,0.887,OK,synthetic
SM-01-01-002,2026-01-04 19:00:00,6.6844,120.17,13.5,0.924,OK,synthetic
SM-01-01-002,2026-01-04 20:00:00,7.0285,121.04,11.73,0.879,OK,synthetic
SM-01-01-002,2026-01-04 21:00:00,6.1143,116.46,13.67,0.869,OK,synthetic
SM-01-01-002,2026-01-04 22:00:00,5.5082,123.33,14.51,0.934,OK,synthetic
SM-01-01-002,2026-01-04 23:00:00,3.1306,120.93,17.71,0.976,OK,synthetic
SM-01-01-002,2026-01-05 00:00:00,1.8899,124.57,13.07,0.897,OK,synthetic
SM-01-01-002,2026-01-05 01:00:00,2.2335,117.6,12.0,0.935,OK,synthetic
SM-01-01-002,2026-01-05 02:00:00,2.1148,125.45,12.32,0.95,OK,synthetic
SM-01-01-002,2026-01-05 03:00:00,2.1661,121.54,13.98,0.912,OK,synthetic
SM-01-01-002,2026-01-05 04:00:00,2.0813,115.94,12.83,0.942,OK,synthetic
SM-01-01-002,2026-01-05 05:00:00,2.2913,121.62,0.2,0.927,OK,synthetic
SM-01-01-002,2026-01-05 06:00:00,3.3238,121.18,14.88,0.904,OK,synthetic
SM-01-01-002,2026-01-05 07:00:00,3.6265,124.5,9.26,0.903,OK,synthetic
SM-01-01-002,2026-01-05 08:00:00,4.6485,123.77,7.25,0.905,OK,synthetic
SM-01-01-002,2026-01-05 09:00:00,5.63,116.38,10.38,1.0,OK,synthetic
SM-01-01-002,2026-01-05 10:00:00,4.9188,118.66,16.06,0.947,OK,synthetic
SM-01-01-002,2026-01-05 11:00:00,4.9412,114.59,9.92,0.963,OK,synthetic
SM-01-01-002,2026-01-05 12:00:00,5.1953,119.0,12.11,0.946,OK,synthetic
SM-01-01-002,2026-01-05 13:00:00,3.7475,114.31,11.72,0.951,OK,synthetic
SM-01-01-002,2026-01-05 14:00:00,4.7105,116.14,4.83,0.927,OK,synthetic
SM-01-01-002,2026-01-05 15:00:00,5.0732,112.89,12.33,0.915,OK,synthetic
SM-01-01-002,2026-01-05 16:00:00,5.8269,120.02,8.9,0.943,OK,synthetic
SM-01-01-002,2026-01-05 17:00:00,4.3063,121.06,8.36,0.92,OK,synthetic
SM-01-01-002,2026-01-05 18:00:00,7.4879,123.35,9.67,0.94,OK,synthetic
SM-01-01-002,2026-01-05 19:00:00,5.2403,119.2,10.59,0.911,OK,synthetic
SM-01-01-002,2026-01-05 20:00:00,5.9804,116.42,8.3,0.924,OK,synthetic
SM-01-01-002,2026-01-05 21:00:00,6.5249,111.75,10.57,0.944,OK,synthetic
SM-01-01-002,2026-01-05 22:00:00,5.8007,119.48,12.05,0.929,OK,synthetic
SM-01-01-002,2026-01-05 23:00:00,4.2107,121.02,12.95,0.917,OK,synthetic
SM-01-01-002,2026-01-06 00:00:00,1.9613,118.07,9.58,0.885,OK,synthetic
SM-01-01-002,2026-01-06 01:00:00,2.0131,127.44,13.69,0.929,OK,synthetic
SM-01-01-002,2026-01-06 02:00:00,2.0003,123.31,10.7,0.941,OK,synthetic
SM-01-01-002,2026-01-06 03:00:00,2.0453,112.38,10.04,0.925,OK,synthetic
SM-01-01-002,2026-01-06 04:00:00,2.3539,116.27,6.17,0.881,OK,synthetic
SM-01-01-002,2026-01-06 05:00:00,2.1332,110.65,9.22,0.925,OK,synthetic
SM-01-01-002,2026-01-06 06:00:00,4.2561,121.31,14.09,0.955,OK,synthetic
SM-01-01-002,2026-01-06 07:00:00,4.4509,122.87,13.0,0.895,OK,synthetic
SM-01-01-002,2026-01-06 08:00:00,3.6381,122.34,10.82,0.942,OK,synthetic
SM-01-01-002,2026-01-06 09:00:00,4.1656,111.64,13.33,0.921,OK,synthetic
SM-01-01-002,2026-01-06 10:00:00,5.4636,119.87,12.73,0.927,OK,synthetic
SM-01-01-002,2026-01-06 11:00:00,4.6799,122.78,13.27,0.923,OK,synthetic
SM-01-01-002,2026-01-06 12:00:00,4.9558,118.36,17.81,0.889,OK,synthetic
SM-01-01-002,2026-01-06 13:00:00,4.7282,126.91,16.18,0.951,OK,synthetic
SM-01-01-002,2026-01-06 14:00:00,5.4503,113.6,14.15,0.948,OK,synthetic
SM-01-01-002,2026-01-06 15:00:00,4.2831,113.58,14.69,0.9,OK,synthetic
SM-01-01-002,2026-01-06 16:00:00,4.3827,122.43,8.69,0.931,OK,synthetic
