meter_id,transformer_id,customer_type,is_macro,communication_type,installation_status,lat,lon
SM-01-03-006,TR-01-03,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.4391330334548975,-76.60865025845068
SM-01-03-007,TR-01-03,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.4333461757050987,-76.60930660306705
SM-01-03-008,TR-01-03,RESIDENTIAL,False,MQTT,ACTIVE,2.437827969270941,-76.61400963855974
SM-01-03-009,TR-01-03,COMMERCIAL,False,DLMS_SIM,ACTIVE,2.438906923697703,-76.60840924618776
SM-01-03-010,TR-01-03,COMMERCIAL,False,MODBUS_TCP,ACTIVE,2.4377258457170656,-76.61214566183507
SM-01-03-011,TR-01-03,COMMERCIAL,False,MQTT,ACTIVE,2.441187921255664,-76.60999574036036
SM-01-03-012,TR-01-03,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.4398864707908547,-76.60460043865038
MM-02-01,TR-02-01,MACRO,True,MQTT,ACTIVE,2.4446536932861833,-76.60166660342699
SM-02-01-001,TR-02-01,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.444829216328926,-76.59638291030117
SM-02-01-002,TR-02-01,RESIDENTIAL,False,MQTT,ACTIVE,2.443411776748032,-76.6018274781475
SM-02-01-003,TR-02-01,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.441329174814775,-76.60361476229808
SM-02-01-004,TR-02-01,RESIDENTIAL,False,MQTT,ACTIVE,2.446834159321399,-76.59588828888475
SM-02-01-005,TR-02-01,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4488898135247976,-76.59944166891583
SM-02-01-006,TR-02-01,COMMERCIAL,False,MQTT,ACTIVE,2.441230889935689,-76.60262334052089
SM-02-01-007,TR-02-01,COMMERCIAL,False,MODBUS_TCP,ACTIVE,2.4525367005842518,-76.6042933772741
SM-02-01-008,TR-02-01,COMMERCIAL,False,MQTT,ACTIVE,2.4464120781494314,-76.6028105203584
SM-02-01-009,TR-02-01,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4494238405489575,-76.60538373155882
SM-02-01-010,TR-02-01,RESIDENTIAL,False,MQTT,ACTIVE,2.448744669731064,-76.60084659958166
SM-02-01-011,TR-02-01,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.443379699129464,-76.60242429937458
SM-02-01-012,TR-02-01,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.452593576435877,-76.59524398524427
MM-02-02,TR-02-02,MACRO,True,MQTT,ACTIVE,2.451755853331084,-76.60005121539385
SM-02-02-001,TR-02-02,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.4532380487491556,-76.59979299098232
SM-02-02-002,TR-02-02,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4487728634614374,-76.60021747466229
SM-02-02-003,TR-02-02,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.4564907774963403,-76.60078585861197
SM-02-02-004,TR-02-02,COMMERCIAL,False,DLMS_SIM,ACTIVE,2.447948886636437,-76.59885953029669
SM-02-02-005,TR-02-02,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4494248918182504,-76.59927835199876
SM-02-02-006,TR-02-02,COMMERCIAL,False,MQTT,ACTIVE,2.453692119627587,-76.59430446579269
SM-02-02-007,TR-02-02,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.4509848432277823,-76.6016392886724
SM-02-02-008,TR-02-02,RESIDENTIAL,False,DLMS_SIM,ACTIVE,2.450528368868473,-76.60327494171528
SM-02-02-009,TR-02-02,COMMERCIAL,False,MODBUS_TCP,ACTIVE,2.451794322315409,-76.60293871926196
SM-02-02-010,TR-02-02,SMALL_INDUSTRY,False,MQTT,ACTIVE,2.4481472584324555,-76.60433899422573
SM-02-02-011,TR-02-02,SMALL_INDUSTRY,False,MODBUS_TCP,ACTIVE,2.4488915342726942,-76.59726400075004
SM-02-02-012,TR-02-02,COMMERCIAL,False,MODBUS_TCP,ACTIVE,2.4459233279194,-76.59887938868546
MM-02-03,TR-02-03,MACRO,True,MQTT,ACTIVE,2.4533112766866685,-76.61149742717451
SM-02-03-001,TR-02-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.453430551842795,-76.61689585324592
SM-02-03-002,TR-02-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.451178749004446,-76.61347277380999
SM-02-03-003,TR-02-03,COMMERCIAL,False,MQTT,ACTIVE,2.4496130994678507,-76.61009358419369
SM-02-03-004,TR-02-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.455488338693503,-76.61053243374943
SM-02-03-005,TR-02-03,COMMERCIAL,False,MQTT,ACTIVE,2.451662388266864,-76.61402781412976
SM-02-03-006,TR-02-03,RESIDENTIAL,False,MQTT,ACTIVE,2.452459766506204,-76.60906170911325
SM-02-03-007,TR-02-03,SMALL_INDUSTRY,False,MQTT,ACTIVE,2.4498018529409458,-76.61630455521797
SM-02-03-008,TR-02-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4549136949010766,-76.61648042381645
SM-02-03-009,TR-02-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.4569131998334353,-76.61699032348328
SM-02-03-010,TR-02-03,RESIDENTIAL,False,MODBUS_TCP,ACTIVE,2.4556051182208334,-76.60823083105987
SM-02-03-011,TR-02-03,SMALL_INDUSTRY,False,DLMS_SIM,ACTIVE,2.450434643202372,-76.61227160460693
SM-02-03-012,TR-02-03,RESIDENTIAL,False,MQTT,ACTIVE,2.4542340066088273,-76.61176288326705
